user_id,user_url,item_id,recommend,posted_year,review,items_count,item_name,playtime_forever,title,id,developer,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,year
chidvd,http://steamcommunity.com/id/chidvd,420,True,2011,2,6410,Half-Life 2: Episode Two,0,Half-Life 2: Episode Two,420,Valve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
dugec01,http://steamcommunity.com/id/dugec01,6880,True,2011,1,232,Just Cause,0,Just Cause,6880,Avalanche Studios,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
76561198082520598,http://steamcommunity.com/profiles/76561198082520598,345580,False,2015,0,80,Universal Combat CE 2.0,0,Universal Combat CE,345580,3000AD,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2015
stuntaneous,http://steamcommunity.com/id/stuntaneous,6420,True,2013,2,1617,Nexus: The Jupiter Incident,0,Nexus - The Jupiter Incident,6420,"Mithis Games,THQ Nordic",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2004
squidamus,http://steamcommunity.com/id/squidamus,238210,True,2013,0,988,System Shock 2,0,System Shock 2,238210,"Irrational Games,Looking Glass Studios",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1999
the_horseman,http://steamcommunity.com/id/the_horseman,17470,True,2013,2,246,Dead Space,0,Dead Space,17470,EA Redwood Shores,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
archy18,http://steamcommunity.com/id/archy18,301750,False,2015,2,1597,RADical ROACH Deluxe Edition,0,RADical ROACH Remastered,301750,DL Softworks,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2014
Bowmore,http://steamcommunity.com/id/Bowmore,4560,True,2011,2,741,Company of Heroes,0,Company of Heroes - Legacy Edition,4560,Relic Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
farsel,http://steamcommunity.com/id/farsel,9050,True,2011,2,342,DOOM 3,0,DOOM 3,9050,id Software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
jaxar,http://steamcommunity.com/id/jaxar,203750,True,2013,2,526,Binary Domain,0,Binary Domain,203750,Devil's Details,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Hawwwk,http://steamcommunity.com/id/Hawwwk,271520,True,2014,1,156,Loadout Steam Launch Starter Pack,0,Loadout Steam Launch Starter Pack,271520,Edge of Reality,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2014
Hawwwk,http://steamcommunity.com/id/Hawwwk,271520,True,2014,1,156,Loadout Steam Launch Starter Pack,0,Loadout Steam Launch Starter Pack,271520,Edge of Reality,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2014
bazzatazza,http://steamcommunity.com/id/bazzatazza,223710,True,2013,1,226,Cry of Fear,0,Cry of Fear,223710,Team Psykskallar,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013
SGT_Corrion,http://steamcommunity.com/id/SGT_Corrion,60,True,2012,1,81,Ricochet,0,Ricochet,60,Valve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
fluxxenik,http://steamcommunity.com/id/fluxxenik,218230,True,2013,0,55,PlanetSide 2,0,PlanetSide 2,218230,Daybreak Game Company,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2012
76561198038741062,http://steamcommunity.com/profiles/76561198038741062,355950,True,2015,2,73,Age of Empires II HD: The African Kingdoms,0,Age of Empires II HD: The African Kingdoms,355950,"SkyBox Labs,Forgotten Empires",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015
gRimski,http://steamcommunity.com/id/gRimski,57300,True,2013,0,238,Amnesia: The Dark Descent,0,Amnesia: The Dark Descent,57300,Frictional Games,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010
plumbers,http://steamcommunity.com/id/plumbers,17410,True,2012,0,191,Mirror's Edge,0,Mirror's Edge™,17410,DICE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
EvenChance,http://steamcommunity.com/id/EvenChance,219890,True,2013,0,306,Antichamber,0,Antichamber,219890,Alexander Bruce,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013
Cleze,http://steamcommunity.com/id/Cleze,270942,True,2015,2,189,Axis Game Factory's AGFPRO BattleMat Multi-Player DLC,0,Axis Game Factory's AGFPRO BattleMat Multi-Player DLC,270942,Axis Game Factory,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2014
Cleze,http://steamcommunity.com/id/Cleze,266590,True,2015,2,189,AGFPROV3 Premium,0,AGFPPROV3 Premium,266590,Axis Game Factory LLC,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2013
76561198091895259,http://steamcommunity.com/profiles/76561198091895259,211500,False,2015,2,15,RaceRoom Racing Experience ,0,RaceRoom Racing Experience,211500,Sector3 Studios,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2013
